Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
8/28/22 22:03,8/29/22 22:03,UTC-05:00,8/28/22 22:03,8/29/22 3:00,51,17.6,285,295,133,63,89,10,556,63,97,FALSE
8/28/22 2:01,8/28/22 22:03,UTC-05:00,8/28/22 2:01,8/28/22 8:55,73,15.9,347,414,151,79,117,67,476,0,83,FALSE
8/26/22 23:25,8/28/22 2:01,UTC-05:00,8/26/22 23:25,8/27/22 9:13,100,15.9,507,587,242,93,172,80,475,0,86,FALSE
8/25/22 23:30,8/26/22 23:25,UTC-05:00,8/25/22 23:30,8/26/22 10:30,100,16.3,573,659,289,103,181,86,478,0,87,FALSE
8/24/22 22:13,8/25/22 23:30,UTC-05:00,8/24/22 22:13,8/25/22 8:49,100,16.6,540,636,293,97,150,96,534,51,84,FALSE
8/23/22 23:37,8/24/22 22:13,UTC-05:00,8/23/22 23:37,8/24/22 8:09,83,17.7,454,505,173,90,191,51,545,60,90,FALSE
8/22/22 22:51,8/23/22 23:37,UTC-05:00,8/22/22 22:51,8/23/22 6:29,80,18.5,408,458,139,104,165,50,511,18,90,FALSE
8/21/22 20:58,8/22/22 22:51,UTC-05:00,8/21/22 20:58,8/22/22 6:41,94,17.1,515,583,208,130,177,68,548,73,88,FALSE
8/16/22 2:58,8/17/22 2:58,UTC+09:00,8/16/22 2:58,8/16/22 10:13,69,16.6,364,432,116,94,154,68,531,18,84,FALSE
8/15/22 0:56,8/16/22 2:58,UTC+09:00,8/15/22 0:56,8/15/22 9:26,94,16.8,475,505,164,106,205,30,506,134,94,FALSE
8/13/22 23:35,8/15/22 0:56,UTC+09:00,8/14/22 17:42,8/14/22 19:39,18,17.6,109,116,41,22,46,7,615,134,95,TRUE
8/13/22 23:35,8/15/22 0:56,UTC+09:00,8/13/22 23:35,8/14/22 3:35,43,17.3,225,236,91,58,76,11,523,47,96,FALSE
8/13/22 0:31,8/13/22 23:35,UTC+09:00,8/13/22 0:31,8/13/22 8:59,80,16.1,432,507,150,97,185,75,539,51,86,FALSE
8/12/22 0:18,8/13/22 0:31,UTC+09:00,8/12/22 0:18,8/12/22 8:04,78,15.8,409,460,173,84,152,51,523,30,89,FALSE
8/11/22 0:25,8/12/22 0:18,UTC+09:00,8/11/22 0:25,8/11/22 8:57,90,15.8,478,512,192,106,180,34,532,24,93,FALSE
8/10/22 1:34,8/11/22 0:25,UTC+09:00,8/10/22 1:34,8/10/22 10:16,92,15.9,477,521,256,77,144,44,521,24,91,FALSE
8/9/22 1:42,8/10/22 1:34,UTC+09:00,8/9/22 1:42,8/9/22 9:39,92,16.2,445,477,214,74,157,32,484,0,93,FALSE
8/7/22 23:34,8/9/22 1:42,UTC+09:00,8/7/22 23:34,8/8/22 9:01,100,16.7,529,561,302,71,156,32,463,80,94,FALSE
8/7/22 0:03,8/7/22 23:34,UTC+09:00,8/7/22 16:40,8/7/22 18:44,18,17,100,122,60,16,24,22,563,80,92,TRUE
8/7/22 0:03,8/7/22 23:34,UTC+09:00,8/7/22 0:03,8/7/22 6:38,66,16.3,346,380,134,88,124,34,528,47,94,FALSE
8/6/22 0:13,8/7/22 0:03,UTC+09:00,8/6/22 0:13,8/6/22 9:10,80,16.4,484,526,158,121,205,42,602,96,93,FALSE
8/5/22 2:31,8/6/22 0:13,UTC+09:00,8/5/22 2:31,8/5/22 7:34,59,17.1,285,298,124,59,102,13,483,0,96,FALSE
8/4/22 0:09,8/5/22 2:31,UTC+09:00,8/4/22 0:09,8/4/22 9:17,100,16.9,501,547,304,99,98,46,488,0,92,FALSE
8/2/22 23:40,8/4/22 0:09,UTC+09:00,8/2/22 23:40,8/3/22 9:59,100,16.5,536,615,265,104,167,79,516,24,89,FALSE
8/2/22 1:48,8/2/22 23:40,UTC+09:00,8/2/22 1:48,8/2/22 10:26,92,16.3,453,519,153,117,183,66,495,0,87,FALSE
7/31/22 23:56,8/2/22 1:48,UTC+09:00,7/31/22 23:56,8/1/22 9:18,100,16.8,515,562,280,79,156,47,497,9,91,FALSE
7/31/22 0:22,7/31/22 23:56,UTC+09:00,7/31/22 0:22,7/31/22 9:32,97,17.1,506,549,248,67,191,43,522,30,92,FALSE
7/29/22 23:38,7/31/22 0:22,UTC+09:00,7/29/22 23:38,7/30/22 10:19,90,17.1,577,640,226,142,209,63,641,158,90,FALSE
7/29/22 2:54,7/29/22 23:38,UTC+09:00,7/29/22 2:54,7/29/22 6:43,33,17.8,197,225,117,42,38,28,600,82,87,FALSE
7/28/22 4:04,7/29/22 2:54,UTC+09:00,7/28/22 4:04,7/28/22 10:28,65,16.2,344,381,160,54,130,37,532,49,90,FALSE
7/27/22 1:19,7/28/22 4:04,UTC+09:00,7/27/22 1:19,7/27/22 8:39,79,16.8,389,432,135,100,154,43,495,12,92,FALSE
7/26/22 0:06,7/27/22 1:19,UTC+09:00,7/26/22 0:06,7/26/22 9:31,96,16.1,504,563,152,129,223,59,526,33,89,FALSE
7/24/22 23:43,7/26/22 0:06,UTC+09:00,7/24/22 23:43,7/25/22 8:28,86,16.6,466,521,225,97,144,55,545,63,90,FALSE
7/24/22 0:46,7/24/22 23:43,UTC+09:00,7/24/22 0:46,7/24/22 7:21,73,17.2,379,392,143,69,167,13,523,30,96,FALSE
7/23/22 0:30,7/24/22 0:46,UTC+09:00,7/23/22 0:30,7/23/22 8:55,90,16.8,476,503,209,100,167,27,530,49,94,FALSE
7/22/22 3:40,7/23/22 0:30,UTC+09:00,7/22/22 3:40,7/22/22 10:56,79,16.1,400,435,173,78,149,35,509,0,92,FALSE
7/21/22 0:09,7/22/22 3:40,UTC+09:00,7/21/22 0:09,7/21/22 9:54,100,16.1,543,581,269,81,193,38,488,0,93,FALSE
7/19/22 23:40,7/21/22 0:09,UTC+09:00,7/19/22 23:40,7/20/22 9:37,100,16.4,557,596,319,108,130,39,484,0,93,FALSE
7/18/22 23:51,7/19/22 23:40,UTC+09:00,7/18/22 23:51,7/19/22 9:30,100,17.8,535,565,310,87,138,30,489,0,94,FALSE
7/17/22 23:09,7/18/22 23:51,UTC+09:00,7/17/22 23:09,7/18/22 11:04,100,16.8,576,715,217,122,237,139,552,70,80,FALSE
7/16/22 23:55,7/17/22 23:09,UTC+09:00,7/16/22 23:55,7/17/22 6:28,70,16.2,364,394,188,82,94,30,522,18,92,FALSE
7/16/22 0:53,7/16/22 23:55,UTC+09:00,7/16/22 0:53,7/16/22 8:36,94,17.3,431,462,191,99,141,31,461,73,93,FALSE
7/15/22 0:23,7/16/22 0:53,UTC+09:00,7/15/22 10:27,7/15/22 12:10,18,17,98,100,64,17,17,2,547,73,98,TRUE
7/15/22 0:23,7/16/22 0:53,UTC+09:00,7/15/22 0:23,7/15/22 7:49,69,17.1,393,442,139,84,170,49,574,66,89,FALSE
7/13/22 23:29,7/15/22 0:23,UTC+09:00,7/13/22 23:29,7/14/22 6:42,72,16.9,404,433,138,113,153,29,563,63,93,FALSE
7/12/22 22:38,7/13/22 23:29,UTC+09:00,7/12/22 22:38,7/13/22 7:02,79,16.4,450,503,198,99,153,53,571,85,89,FALSE
7/11/22 22:07,7/12/22 22:38,UTC+09:00,7/11/22 22:07,7/12/22 5:28,64,16.9,385,442,212,46,127,57,606,172,87,FALSE
7/10/22 15:23,7/11/22 22:07,UTC+09:00,7/10/22 21:34,7/10/22 22:45,11,19.3,69,71,65,0,4,2,648,172,97,TRUE
7/9/22 1:28,7/10/22 1:23,UTC-05:00,7/9/22 1:28,7/9/22 3:58,27,17.8,138,150,49,33,56,12,515,18,93,FALSE
