Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
9/3/22 0:00,,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,
8/28/22 22:03,8/29/22 22:03,UTC-05:00,28,57,45,32.82,95.77,0.2,558,92,65,8/28/22 22:03,8/29/22 3:00,51,17.6,285,295,133,63,89,10,556,63,97
8/28/22 2:01,8/28/22 22:03,UTC-05:00,41,55,49,34.3,96.07,12.1,2243,162,73,8/28/22 2:01,8/28/22 8:55,73,15.9,347,414,151,79,117,67,476,0,83
8/26/22 23:25,8/28/22 2:01,UTC-05:00,65,55,57,34.69,96.57,5.3,2289,135,66,8/26/22 23:25,8/27/22 9:13,100,15.9,507,587,242,93,172,80,475,0,86
8/25/22 23:30,8/26/22 23:25,UTC-05:00,60,55,58,33.56,96.26,4,1833,108,64,8/25/22 23:30,8/26/22 10:30,100,16.3,573,659,289,103,181,86,478,0,87
8/24/22 22:13,8/25/22 23:30,UTC-05:00,20,62,42,35.37,95.1,7.1,2283,165,65,8/24/22 22:13,8/25/22 8:49,100,16.6,540,636,293,97,150,96,534,51,84
8/23/22 23:37,8/24/22 22:13,UTC-05:00,36,61,45,34.31,95.47,9.3,2218,147,71,8/23/22 23:37,8/24/22 8:09,83,17.7,454,505,173,90,191,51,545,60,90
8/22/22 22:51,8/23/22 23:37,UTC-05:00,35,59,50,34.6,96.31,9.9,2412,153,74,8/22/22 22:51,8/23/22 6:29,80,18.5,408,458,139,104,165,50,511,18,90
8/21/22 20:58,8/22/22 22:51,UTC-05:00,51,55,55,33.8,96.73,12.3,2790,160,72,8/21/22 20:58,8/22/22 6:41,94,17.1,515,583,208,130,177,68,548,73,88
8/21/22 0:00,8/21/22 20:58,UTC-05:00,,,,,,4,53,113,76,,,,,,,,,,,,,
8/20/22 0:00,8/21/22 14:00,UTC+09:00,,,,,,12.2,1277,162,83,,,,,,,,,,,,,
8/16/22 2:58,8/17/22 2:58,UTC+09:00,27,56,49,33.7,97.16,14.3,2929,165,65,8/16/22 2:58,8/16/22 10:13,69,16.6,364,432,116,94,154,68,531,18,84
8/15/22 0:56,8/16/22 2:58,UTC+09:00,53,51,68,33.19,96.94,15.6,3509,166,72,8/15/22 0:56,8/15/22 9:26,94,16.8,475,505,164,106,205,30,506,134,94
8/13/22 23:35,8/15/22 0:56,UTC+09:00,30,52,71,33.7,97.36,8.6,2419,154,62,8/13/22 23:35,8/14/22 3:35,43,17.3,225,236,91,58,76,11,523,47,96
8/13/22 0:31,8/13/22 23:35,UTC+09:00,51,52,69,33.8,97,5.1,2002,149,61,8/13/22 0:31,8/13/22 8:59,80,16.1,432,507,150,97,185,75,539,51,86
8/12/22 0:18,8/13/22 0:31,UTC+09:00,87,51,86,33.07,97,10.9,2499,161,68,8/12/22 0:18,8/12/22 8:04,78,15.8,409,460,173,84,152,51,523,30,89
8/11/22 0:25,8/12/22 0:18,UTC+09:00,72,52,75,33.3,96.21,12.2,2570,177,69,8/11/22 0:25,8/11/22 8:57,90,15.8,478,512,192,106,180,34,532,24,93
8/10/22 1:34,8/11/22 0:25,UTC+09:00,96,49,88,33.58,96.78,14.7,2947,171,70,8/10/22 1:34,8/10/22 10:16,92,15.9,477,521,256,77,144,44,521,24,91
