Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
8/16/22 2:58,8/17/22 2:58,UTC+09:00,8/16/22 14:48,8/16/22 16:00,71,Baseball,11.2,600,165,129,0,10,56,31,1,FALSE,,,
8/15/22 0:56,8/16/22 2:58,UTC+09:00,8/15/22 14:08,8/15/22 15:13,64,Baseball,9.7,477,165,124,8,10,53,26,0,FALSE,,,
8/12/22 0:18,8/13/22 0:31,UTC+09:00,8/12/22 16:48,8/12/22 17:59,70,Baseball,9.8,477,161,121,8,19,48,20,3,FALSE,,,
8/10/22 1:34,8/11/22 0:25,UTC+09:00,8/10/22 13:49,8/10/22 15:18,88,Baseball,12.8,748,171,129,0,17,39,36,5,FALSE,,,
8/5/22 2:31,8/6/22 0:13,UTC+09:00,8/5/22 11:47,8/5/22 12:19,31,Weightlifting,6.4,198,153,121,3,23,51,20,0,FALSE,,,
8/5/22 2:31,8/6/22 0:13,UTC+09:00,8/5/22 9:48,8/5/22 11:16,87,Baseball,12.5,648,172,126,10,23,24,27,13,FALSE,,,
8/2/22 1:48,8/2/22 23:40,UTC+09:00,8/2/22 17:22,8/2/22 18:12,50,Activity,7.6,320,143,120,1,26,69,2,0,FALSE,,,
7/31/22 23:56,8/2/22 1:48,UTC+09:00,8/1/22 15:49,8/1/22 16:25,36,Activity,5.8,173,139,112,0,51,47,0,0,FALSE,,,
7/28/22 4:04,7/29/22 2:54,UTC+09:00,7/28/22 16:32,7/28/22 17:31,58,Baseball,12,566,173,136,0,12,30,41,15,FALSE,,,
7/24/22 23:43,7/26/22 0:06,UTC+09:00,7/25/22 15:58,7/25/22 16:50,51,Activity,9.1,408,152,128,0,12,51,35,0,FALSE,,,
7/23/22 0:30,7/24/22 0:46,UTC+09:00,7/23/22 11:12,7/23/22 12:01,49,Baseball,8.7,357,172,126,1,17,55,18,7,FALSE,,,
7/21/22 0:09,7/22/22 3:40,UTC+09:00,7/21/22 18:33,7/21/22 18:55,21,Activity,10.1,284,185,155,0,0,1,39,49,FALSE,,,
7/21/22 0:09,7/22/22 3:40,UTC+09:00,7/21/22 16:06,7/21/22 16:50,43,Baseball,11.5,460,171,142,0,8,22,37,31,FALSE,,,
7/16/22 0:53,7/16/22 23:55,UTC+09:00,7/16/22 20:13,7/16/22 22:05,112,Baseball,9.2,501,162,109,20,39,31,8,0,FALSE,,,
7/16/22 0:53,7/16/22 23:55,UTC+09:00,7/16/22 11:52,7/16/22 13:04,72,Baseball,10.2,485,170,121,8,30,33,22,4,FALSE,,,
7/13/22 23:29,7/15/22 0:23,UTC+09:00,7/14/22 16:25,7/14/22 17:37,71,Baseball,12.2,642,181,133,0,16,27,47,7,FALSE,,,
7/12/22 22:38,7/13/22 23:29,UTC+09:00,7/13/22 15:48,7/13/22 16:29,41,Activity,9.4,377,164,133,0,7,42,43,5,FALSE,,,
7/10/22 15:23,7/11/22 22:07,UTC+09:00,7/11/22 8:07,7/11/22 8:59,51,Baseball,10.7,482,159,134,0,11,31,55,2,FALSE,,,
7/8/22 1:23,7/9/22 1:28,UTC-05:00,7/8/22 13:37,7/8/22 14:48,71,Baseball,10.4,507,161,122,8,23,34,31,2,FALSE,,,
7/3/22 23:57,7/5/22 0:19,UTC-05:00,7/4/22 10:51,7/4/22 11:23,32,Weightlifting,5.4,135,136,108,4,71,23,0,0,FALSE,,,
